[LabApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[LabApp | INFO] Loading the validate_assignment nbgrader serverextension
[LabApp | WARNING] JupyterLab server extension not enabled, manually loading...
[LabApp | INFO] JupyterLab extension loaded from /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/jupyterlab
[LabApp | INFO] JupyterLab application directory is /Library/Frameworks/Python.framework/Versions/3.7/share/jupyter/lab
[LabApp | INFO] Serving notebooks from local directory: /Users/simaonovais/Documents/Documents – Simao’s MacBook Air/GitHub/ChutaCodigo
[LabApp | INFO] The Jupyter Notebook is running at:
[LabApp | INFO] http://localhost:8888/?token=913c5511479a8dfa4dfd0bed80eb2b943e1bc54039820d04
[LabApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[LabApp | CRITICAL] 
    
    To access the notebook, open this file in a browser:
        file:///Users/simaonovais/Library/Jupyter/runtime/nbserver-7823-open.html
    Or copy and paste one of these URLs:
        http://localhost:8888/?token=913c5511479a8dfa4dfd0bed80eb2b943e1bc54039820d04
[LabApp | WARNING] 404 GET /apple-touch-icon-precomposed.png (::1) 77.12ms referer=None
[LabApp | WARNING] 404 GET /apple-touch-icon.png (::1) 2.01ms referer=None
[LabApp | WARNING] Could not determine jupyterlab build status without nodejs
[LabApp | WARNING] 404 GET /api/contents/Untitled.ipynb?content=0&1576014576112 (::1): No such file or directory: Untitled.ipynb
[LabApp | WARNING] No such file or directory: Untitled.ipynb
[LabApp | WARNING] 404 GET /api/contents/Untitled.ipynb?content=0&1576014576112 (::1) 22.44ms referer=http://localhost:8888/lab
[LabApp | INFO] Kernel started: 37db6868-4e1e-4e09-82c4-b0bb6ee91d4c
[LabApp | INFO] Adapting to protocol v5.1 for kernel 37db6868-4e1e-4e09-82c4-b0bb6ee91d4c
[LabApp | INFO] Adapting to protocol v5.1 for kernel 37db6868-4e1e-4e09-82c4-b0bb6ee91d4c
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] 302 GET / (::1) 0.75ms
[LabApp | INFO] Starting buffering for 37db6868-4e1e-4e09-82c4-b0bb6ee91d4c:e1f677fa-a412-4053-8a4c-17147a90460c
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'rubberband/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/rubberband/rubberband.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/rubberband/rubberband.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'scroll_down/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/scroll_down/config.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/scroll_down/config.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'hinterland/hinterland' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/hinterland/hinterland.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/hinterland/hinterland.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'snippets/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/snippets/snippets.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/snippets/snippets.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'toggle_all_line_numbers/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/toggle_all_line_numbers/main.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/toggle_all_line_numbers/main.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'notify/notify' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/notify/notify.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/notify/notify.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'runtools/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/runtools/runtools.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/runtools/runtools.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'tree-filter/index' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/tree-filter/tree-filter.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/tree-filter/tree-filter.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'table_beautifier/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/table_beautifier/table_beautifier.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/table_beautifier/table_beautifier.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'freeze/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/freeze/config.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/freeze/config.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'exercise2/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/exercise2/exercise2.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/exercise2/exercise2.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'execution_dependencies/execution_dependencies' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/execution_dependencies/execution_dependencies.yml' and '/Users/simaonovais/Library/Jupyter/nbextensions/execution_dependencies/execution_dependencies.yml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'skill/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/skill/skill.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/skill/skill.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'splitcell/splitcell' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/splitcell/splitcell.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/splitcell/splitcell.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'autosavetime/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/autosavetime/autosavetime.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/autosavetime/autosavetime.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'select_keymap/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/select_keymap/select_keymap.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/select_keymap/select_keymap.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'livemdpreview/livemdpreview' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/livemdpreview/livemdpreview.yml' and '/Users/simaonovais/Library/Jupyter/nbextensions/livemdpreview/livemdpreview.yml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'gist_it/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/gist_it/gist_it.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/gist_it/gist_it.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'cell_filter/cell_filter' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/cell_filter/cell_filter.yml' and '/Users/simaonovais/Library/Jupyter/nbextensions/cell_filter/cell_filter.yml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'scratchpad/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/scratchpad/scratchpad.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/scratchpad/scratchpad.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'toc2/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/toc2/toc2.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/toc2/toc2.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'nbTranslate/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/nbTranslate/nbTranslate.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/nbTranslate/nbTranslate.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'equation-numbering/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/equation-numbering/info.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/equation-numbering/info.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'navigation-hotkeys/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/navigation-hotkeys/hotkeys.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/navigation-hotkeys/hotkeys.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'snippets_menu/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/snippets_menu/config.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/snippets_menu/config.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'printview/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/printview/printview.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/printview/printview.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'export_embedded/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/export_embedded/export_embedded.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/export_embedded/export_embedded.yaml'
